Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Darchula,Sitaula,"Sitaula, Darchula",29.8364022,80.77851402,VDC,29.8364022038667 - 80.7785140156953VDC
Achham,Siudi,"Siudi, Achham",29.15637676,81.11560631,VDC,29.1563767575692 - 81.1156063079252VDC
Rolpa,Siuri,"Siuri, Rolpa",28.3398367,82.82325062,VDC,28.3398367000222 - 82.8232506166922VDC
Bardiya,Sivapur,"Sivapur, Bardiya",28.49194766,81.29897209,VDC,28.4919476551151 - 81.2989720875326VDC
Panchthar,Siwa,"Siwa, Panchthar",27.08728252,87.76393623,VDC,27.0872825199725 - 87.7639362262909VDC
Rukum,Sobha,"Sobha, Rukum",28.59478411,82.59576769,VDC,28.5947841055557 - 82.5957676891616VDC
Sarlahi,Sohadawa,"Sohadawa, Sarlahi",26.92970352,85.48867199,VDC,26.9297035240103 - 85.4886719931884VDC
Terhathum,Solma,"Solma, Terhathum",27.13655702,87.48512828,VDC,27.1365570246247 - 87.4851282787821VDC
Sindhuli,Solpathana,"Solpathana, Sindhuli",27.20633668,86.31310343,VDC,27.206336682537 - 86.3131034278992VDC
Solukhumbu,,Solukhumbu,27.70055,86.72588,District,27.7005473578944 - 86.7258789529687District
Palpa,Somadi,"Somadi, Palpa",27.91109259,83.38689378,VDC,27.9110925864027 - 83.3868937840318VDC
Nawalparasi,Somani,"Somani, Nawalparasi",27.50378568,83.7800335,VDC,27.5037856784641 - 83.7800334951725VDC
Kapilbastu,Somdiha,"Somdiha, Kapilbastu",27.47669402,82.98169953,VDC,27.4766940214296 - 82.9816995282472VDC
Mahottari,Sonama,"Sonama, Mahottari",26.85768694,85.75101368,VDC,26.8576869402879 - 85.7510136812612VDC
Mahottari,Sonamai,"Sonamai, Mahottari",26.85054121,85.80556982,VDC,26.8505412050609 - 85.8055698162985VDC
Banke,Sonapur,"Sonapur, Banke",28.14839313,81.54727085,VDC,28.1483931327669 - 81.5472708524636VDC
Sunsari,Sonapur,"Sonapur, Sunsari",26.59882491,87.26994844,VDC,26.5988249145865 - 87.2699484432075VDC
Mahottari,Sonaul,"Sonaul, Mahottari",26.75659032,85.76170122,VDC,26.7565903210329 - 85.7617012156876VDC
Uttar Pradesh,Sonauli,"Sonauli, Uttar Pradesh",27.47044,83.46569,City,27.47044 - 83.46569City
Parsa,Sonbarsa,"Sonbarsa, Parsa",27.21174259,84.78870063,VDC,27.2117425865783 - 84.7887006250835VDC
Dhanusa,Sonigama,"Sonigama, Dhanusa",26.73297833,86.04591507,VDC,26.7329783263698 - 86.0459150672377VDC
Siraha,SonmatiMajhaura,"SonmatiMajhaura, Siraha",26.68289604,86.49441869,VDC,26.6828960429528 - 86.4944186921806VDC
Dang,Sonpur,"Sonpur, Dang",27.88070768,82.59179093,VDC,27.8807076774809 - 82.5917909321657VDC
Ilam,Sopak,"Sopak, Ilam",26.84718582,87.88833416,VDC,26.8471858163456 - 87.8883341560686VDC
Morang,Sorabhag,"Sorabhag, Morang",26.45156063,87.43051001,VDC,26.4515606320824 - 87.4305100069166VDC
Bardiya,Sorhawa,"Sorhawa, Bardiya",28.17964796,81.51502184,VDC,28.1796479572815 - 81.5150218387001VDC
Solukhumbu,Sotang,"Sotang, Solukhumbu",27.47706684,86.8003183,VDC,27.4770668423979 - 86.800318296724VDC
Siraha,Sothiyan,"Sothiyan, Siraha",26.63399436,86.44396359,VDC,26.633994359269 - 86.4439635877953VDC
Achham,Soukat,"Soukat, Achham",29.19452877,81.07465814,VDC,29.1945287699986 - 81.0746581382331VDC
Rupandehi,SourahaPharsatikar,"SourahaPharsatikar, Rupandehi",27.61998155,83.40472705,VDC,27.6199815469378 - 83.4047270536852VDC
